RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
27|Isaiah Canaan|MUR|G|33|33.7|19.0|5.7|12.1|46.8|3.0|6.5|45.6|4.7|5.6|83.7|3.5|3.6|1.4|0.1|2.7
27|George Beamon|MAN|G|33|32.0|19.0|6.4|13.1|48.6|1.8|4.3|42.7|4.4|5.5|80.1|5.6|2.0|1.5|0.5|2.7
29|Ken Horton|CCSU|F|28|34.5|19.0|6.9|14.0|49.1|1.6|5.3|31.3|3.6|4.5|80.2|8.9|1.7|2.1|1.4|1.9
30|Devon Saddler|DEL|G|32|35.6|18.8|6.0|15.4|39.1|1.8|5.9|31.1|4.9|6.2|80.2|4.1|1.8|0.8|0.3|3.2
31|Tim Frazier|PSU|G|32|37.1|18.8|6.5|15.5|41.9|0.8|2.7|31.4|5.0|6.3|79.1|4.7|6.2|2.4|0.2|3.7
32|Charlie Westbrook|SDAK|G|28|32.4|18.7|6.5|14.1|46.4|1.3|3.4|38.9|4.3|5.6|76.6|4.0|2.2|1.7|0.9|2.5
33|Wendell McKines|NMSU|F|35|33.7|18.7|6.7|14.4|46.1|1.5|4.1|35.2|3.9|5.1|76.0|10.7|1.5|0.8|0.4|2.0
34|Andrew Nicholson|SBU|F|32|30.1|18.5|6.9|12.0|57.1|0.7|1.7|43.4|4.0|5.2|77.6|8.4|1.0|0.7|2.0|2.5
35|Charles Hinkle|AMER|F|32|34.3|18.4|5.5|13.5|40.6|2.7|6.3|41.9|4.8|5.8|83.8|5.4|1.8|0.9|0.4|2.1
36|Trevis Simpson|UNCG|G-F|30|27.8|18.3|6.2|16.2|38.3|2.0|6.5|31.1|3.9|5.2|75.5|4.2|0.7|0.8|0.2|2.2
37|Darius Johnson-Odom|MARQ|G|34|32.9|18.3|6.2|13.8|44.7|2.3|5.9|38.5|3.7|4.9|76.4|3.5|2.7|0.9|0.1|2.4
38|Mike Glover|IONA|F|33|33.6|18.3|7.2|11.4|63.7|0.0|0.0|0.0|3.8|5.9|64.9|9.0|1.0|1.0|1.2|2.7
39|Darrion Pellum|HAMP|G|33|38.5|18.3|5.9|16.4|36.2|2.2|7.4|29.6|4.2|5.6|75.5|4.2|1.7|1.2|0.3|3.2
40|Zack Rosen|PENN|G|33|38.2|18.2|6.4|14.1|45.3|2.3|5.7|39.9|3.2|3.6|88.2|3.2|5.2|1.4|0.1|2.7
41|Aaron Broussard|SEA|F|27|29.2|18.2|6.8|14.6|46.7|1.3|4.0|32.7|3.3|4.6|71.8|6.5|1.0|1.6|0.1|1.8
42|Greg Mangano|YALE|F|29|32.1|18.2|6.8|14.3|47.4|1.3|3.9|33.3|3.3|5.0|65.5|9.6|0.5|0.4|2.2|2.0
43|Brock Motum|WSU|F|34|31.5|18.0|6.5|11.7|55.4|0.9|2.1|39.7|4.2|5.7|73.8|6.4|1.6|0.6|0.4|3.0
44|Will Barton|MEM|G|35|35.3|18.0|6.6|12.9|50.9|1.1|3.1|34.6|3.8|5.1|74.9|8.0|2.9|1.4|0.7|2.1
45|Mike Scott|UVA|F|32|31.2|18.0|6.7|11.9|56.3|0.2|0.6|30.0|4.3|5.4|80.8|8.3|1.2|0.7|0.5|2.1
46|Kyle Vinales|CCSU|G|29|34.7|17.9|6.2|15.7|39.3|2.4|6.3|38.6|3.1|3.7|84.3|2.0|3.6|1.2|0.1|3.1
47|Jared Cunningham|ORST|G|36|34.6|17.9|5.5|12.2|45.0|1.4|4.1|33.8|5.5|7.5|73.7|3.8|2.8|2.5|0.4|2.8
48|Patrick Richard|MCN|G-F|33|36.5|17.9|5.8|14.3|40.2|1.5|5.4|27.9|4.8|6.3|76.9|6.4|3.3|1.3|0.7|2.4
49|Robert Covington|TNST|F|34|30.7|17.9|6.4|12.1|52.9|2.0|4.4|45.3|3.1|3.9|78.2|7.9|1.4|1.6|1.4|2.4
50|LaMarcus Reed |IIIUTA|G|33|30.6|17.8|5.4|11.8|46.1|1.9|5.0|38.6|5.1|6.3|79.9|3.7|1.7|1.0|0.4|2.6
51|Kevin Olekaibe|UNLV|G|33|36.5|17.8|5.7|15.4|37.2|2.8|8.2|33.8|3.6|4.5|79.7|3.2|1.2|1.3|0.1|1.5
52|Kevin Foster|SCU|G|18|31.6|17.8|5.7|15.1|37.5|3.6|9.2|38.6|2.9|4.2|69.3|3.1|3.2|1.4|0.2|2.3
53|Thomas Robinson|KU|F|39|31.8|17.7|6.7|13.3|50.5|0.2|0.4|50.0|4.2|6.1|68.2|11.9|1.8|1.1|0.9|2.7
54|Jeremy Lamb|CONN|G-F|34|37.2|17.7|6.4|13.4|47.8|2.1|6.2|33.6|2.9|3.6|81.0|4.9|1.7|1.2|0.6|2.0
55|ya Green|HOF|G|33|37.2|17.7|5.7|14.1|40.4|1.8|5.5|33.9|4.5|5.6|80.0|3.2|4.5|1.9|0.3|3.5
56|Marcus Denmon|MIZ|G|35|34.6|17.7|5.7|12.4|46.0|2.8|6.9|40.7|3.4|3.8|89.6|5.0|2.1|1.5|0.0|1.2
57|Maalik Wayns|VILL|G|29|33.6|17.6|5.6|13.5|41.4|1.6|5.2|29.8|4.9|5.4|89.2|3.8|4.6|1.0|0.0|3.0
58|Brandon Fortenberry|SELA|G|7|33.1|17.6|5.9|12.7|46.1|2.4|6.1|39.5|3.4|4.7|72.7|3.7|2.7|1.3|0.3|1.4
59|Jae Crowder|MARQ|F|35|32.9|17.5|6.2|12.5|49.8|1.7|5.1|34.5|3.4|4.6|73.5|8.4|2.1|2.5|1.0|1.3
60|Tu Holloway|XAV|G|34|36.7|17.5|4.9|11.4|42.9|1.3|3.8|34.6|6.4|7.4|86.2|3.6|4.9|1.5|0.1|3.0
60|Ella Ellis|ARMY|F|30|30.5|17.5|5.4|13.0|41.2|2.1|5.9|35.8|4.7|5.6|82.8|4.9|2.1|0.8|0.4|2.4
62|Jared Sullinger|OSU|F|37|30.4|17.5|6.2|11.9|51.9|0.4|1.1|40.0|4.7|6.2|76.8|9.2|1.2|1.2|1.1|1.9
63|Phil Martin|UCR|G|30|35.5|17.5|6.4|15.0|42.5|1.3|3.7|35.1|3.4|4.3|80.5|5.6|1.0|0.5|0.4|2.4
64|Keith Gabriel|VMI|G|33|28.6|17.5|5.8|13.6|42.9|2.3|7.1|32.1|3.5|4.8|74.5|3.5|1.9|1.8|1.2|2.2
65|Cleveland Melvin|DEP|F|31|32.1|17.5|7.1|15.8|44.8|0.5|2.3|22.9|2.8|4.4|63.5|7.4|0.8|0.8|1.1|2.2
66|Jamaal Franklin|SDSU|G|32|30.3|17.4|5.4|12.5|43.3|1.6|4.9|32.5|5.0|6.3|80.0|7.9|1.5|1.0|0.6|3.0
